id1,id2,power
16163.0,16170.0,-0.0048000000000000004
16170.0,24509.0,0.005600000000000001
24210.0,24167.0,0.0016
24167.0,24186.0,0.0008
24470.0,24563.0,0.0008
24729.0,24629.0,-0.0008
24629.0,24670.0,-0.0016
24670.0,16181.0,-0.0032
16181.0,24657.0,0.0016
24355.0,24359.0,0.04080000000000001
24359.0,16936.0,0.04000000000000001
16936.0,16947.0,0.036800000000000006
16947.0,16171.0,0.036000000000000004
16171.0,16181.0,0.025600000000000005
24355.0,24237.0,-0.04160000000000001
24237.0,24114.0,0.0008
24134.0,24167.0,-0.0008
24359.0,24371.0,0.0008
16936.0,24396.0,0.0032
16170.0,16171.0,-0.010400000000000001
16947.0,24533.0,0.0008
16155.0,16156.0,-0.0016
16155.0,24285.0,0.0008
16155.0,24151.0,0.0008
24800.0,15858.0,-0.0008
15858.0,15868.0,0.0048000000000000004
15868.0,24757.0,0.0016
24757.0,24779.0,0.0008
24896.0,24824.0,-0.0008
24824.0,16067.0,-0.0016
16067.0,16065.0,0.0016
16065.0,24855.0,0.0008
16065.0,24894.0,0.0008
15858.0,15852.0,-0.005600000000000001
16067.0,15868.0,-0.0032
24940.0,24957.0,-0.0016
24957.0,24980.0,-0.0048000000000000004
24940.0,24933.0,0.0008
25000.0,25019.0,-0.0008
25019.0,25028.0,0.0024000000000000002
25019.0,25022.0,-0.0032
20577.0,16546.0,-0.0008
16546.0,16551.0,-0.008800000000000002
16551.0,20581.0,0.004
16546.0,20573.0,0.0008
16546.0,20527.0,0.0072000000000000015
20527.0,20509.0,0.0008
25090.0,25091.0,-0.050400000000000014
25091.0,25190.0,-0.051200000000000016
17858.0,25080.0,0.0016
17858.0,25244.0,-0.04640000000000001
25244.0,25274.0,-0.04800000000000001
25274.0,25241.0,-0.04880000000000001
25241.0,25090.0,-0.04960000000000001
25122.0,25244.0,-0.0016
25300.0,25316.0,0.0008
25300.0,25287.0,0.0008
25338.0,25325.0,-0.0008
25410.0,17099.0,0.012000000000000002
17099.0,17123.0,0.010400000000000001
17123.0,25423.0,0.0008
25353.0,17099.0,-0.0016
25441.0,25458.0,0.008
25492.0,25479.0,-0.0008
25521.0,25502.0,0.0008
15107.0,15116.0,0.03520000000000001
15116.0,15132.0,0.014400000000000003
15132.0,25582.0,0.013600000000000003
15107.0,25531.0,-0.04240000000000001
15116.0,15190.0,0.020800000000000003
25628.0,25647.0,0.0048000000000000004
25689.0,25671.0,-0.005600000000000001
25671.0,25725.0,0.013600000000000003
25725.0,25739.0,0.012800000000000002
25739.0,16195.0,0.009600000000000003
16195.0,16202.0,0.0016
16202.0,25814.0,0.0008
25794.0,16202.0,-0.0008
25667.0,25671.0,0.019200000000000002
16195.0,15789.0,0.008000000000000002
15789.0,25720.0,0.0008
25739.0,25754.0,0.0032
25754.0,25817.0,0.0016
25685.0,15789.0,-0.0008
20712.0,20698.0,-0.0008
20698.0,20669.0,-0.0032
20669.0,20649.0,0.0016
20649.0,20653.0,0.0008
20698.0,20687.0,0.0008
