ID,X,Y,Voltage,Power,Cluster
24151.0,1091874.322554498,317282.27673883236,0.995,0.587,36
24186.0,1092278.8678311936,317425.18811177573,0.995,0.102,36
24237.0,1092678.845153065,317534.5119890359,0.997,0.409,36
24281.0,1092401.075075497,317595.9167108027,0.995,0.628,36
24285.0,1091781.960443101,317602.88553775137,0.995,0.599,36
24355.0,1092666.8525966578,317852.14125692303,0.997,0.529,36
24371.0,1092427.3646954773,317933.6260507987,0.997,0.446,36
24396.0,1092654.4620784577,318093.4547421675,0.996,0.549,36
24407.0,1091454.7940907413,318131.71379467065,0.995,0.872,36
24453.0,1091135.6836379746,318412.66002657573,0.995,0.825,36
24470.0,1091748.5173244877,318529.22009061807,0.995,0.0,36
24533.0,1092474.3505397327,318835.76774342504,0.996,0.503,36
24561.0,1090832.55722064,318917.68937794724,0.995,2.149,36
24562.0,1092122.1930632594,318927.4399934857,0.995,0.535,36
24563.0,1091532.1278249754,318932.4929780711,0.995,0.673,36
24629.0,1091456.4988801805,319375.60989021463,0.995,0.753,36
24657.0,1092739.7452403242,319443.69649338035,0.995,1.531,36
24670.0,1092288.4636630493,319468.9299081781,0.995,1.09,36
24729.0,1091196.493775609,319667.62391290447,0.995,0.491,36
24167.0,1092285.1433416212,317367.46030221554,0.995,0.0,36
24210.0,1092199.1022284008,317495.81256434077,0.995,0.0,36
24359.0,1092624.1418342628,317878.6712127042,0.997,0.0,36
24509.0,1092152.4704364906,318697.4411251881,0.995,0.0,36
15858.0,1095566.266697362,317436.3421479664,0.994,0.0,37
15868.0,1095916.7433556379,317151.6111137353,0.994,0.0,37
16065.0,1095936.8125415093,317781.8874322616,0.994,0.0,37
16067.0,1095922.6843995634,317609.9381216585,0.994,0.0,37
15852.0,1095364.2145862966,317650.5781823821,0.994,0.664,37
24757.0,1096040.423527165,317191.5247854278,0.994,0.559,37
24779.0,1096210.0761341527,317273.49088563764,0.994,0.954,37
24800.0,1095552.7120406695,317383.7004911924,0.994,0.686,37
24824.0,1096066.7499545834,317591.7663686103,0.994,0.397,37
24855.0,1095919.2024188356,317807.1604959891,0.994,0.431,37
24894.0,1095935.6942054452,318176.2199857606,0.994,0.774,37
24896.0,1096409.8896310742,318199.5514418007,0.994,0.588,37
24933.0,1108491.0269411409,317423.2325545305,0.905,0.579,38
24940.0,1107956.4292642812,317484.7697765239,0.905,0.482,38
24957.0,1107908.5621711642,318110.2825122173,0.905,0.783,38
24980.0,1107584.513664625,318362.31712670287,0.905,1.251,38
25000.0,1099295.322323557,317593.16250234673,0.973,0.81,39
25022.0,1099011.7301102057,317903.3946699035,0.974,0.993,39
25028.0,1099441.9557196938,317952.57799494,0.973,0.415,39
25019.0,1099204.6263453464,317883.1781645929,0.973,0.0,39
16546.0,1107920.3770288627,311335.56905273604,0.927,0.0,4
16551.0,1107389.690625315,311611.6782767023,0.927,0.305,4
20509.0,1107642.575106551,310711.64029936085,0.927,0.172,4
20527.0,1108072.704908266,310951.21182677976,0.927,0.299,4
20573.0,1107860.722383027,311318.4480704413,0.927,0.734,4
20577.0,1108262.026808308,311348.0632272501,0.927,0.374,4
20581.0,1107043.2736126916,311350.0288401314,0.927,1.767,4
17858.0,1106283.3367798328,318591.3446329915,0.906,1.755,40
25080.0,1106363.1518259794,318115.43880932394,0.906,1.011,40
25090.0,1105640.7649424109,318165.53474817873,0.91,0.704,40
25091.0,1105368.7283710977,318161.85300516256,0.911,0.84,40
25122.0,1106099.835726652,318380.50169017893,0.907,1.251,40
25190.0,1104874.9568769278,318576.42404232704,0.913,1.196,40
25241.0,1105506.1564148932,318688.1738634344,0.909,0.347,40
25274.0,1106045.8206294926,318792.0868822497,0.907,0.64,40
25244.0,1106192.1196288208,318686.58844265115,0.907,0.0,40
25287.0,1093296.2799044624,318087.08770055405,0.996,0.476,41
25300.0,1093073.901845213,318339.8069218468,0.996,0.698,41
25316.0,1093572.7450642926,318612.8664178748,0.996,0.372,41
25325.0,1099703.7487651294,318303.7696479691,0.973,0.372,42
25338.0,1099810.0026629,318660.9846615576,0.973,0.882,42
17099.0,1110035.3254718278,318401.8403644316,0.904,0.0,43
17123.0,1110273.645952086,318431.2332542509,0.904,0.926,43
25353.0,1109953.521939481,318333.9457072018,0.904,1.411,43
25410.0,1109996.8037343144,318698.616430632,0.904,0.788,43
25423.0,1110402.475664762,318795.99955949467,0.904,0.958,43
25441.0,1125060.7631153457,318444.2488207549,0.997,1.141,44
25458.0,1124934.6639700185,319133.8528663332,0.996,0.607,44
25479.0,1108261.2853131972,318455.85847227287,0.905,1.219,45
25492.0,1108836.6688123266,318601.76698017464,0.905,0.443,45
25502.0,1127053.9190639595,318535.1363204195,0.996,0.765,46
25521.0,1126893.1739148395,319085.46036748035,0.996,0.905,46
15116.0,1107998.2384130205,319068.4340165428,0.905,0.0,47
15107.0,1107618.407217384,318915.6877614372,0.905,0.303,47
