X,Y,geometry,ID,Elevation,Slope,Land_cover,Protected_area,Road_dist,River_flow
1100918.1212461155,309664.74535690405,POINT (1100918.121246116 309664.7453569041),89,1111,0.24964341521263123,1,False,268.2011047689904,
1101118.1212461155,309664.74535690405,POINT (1101118.121246116 309664.7453569041),90,1111,0.28875499963760376,1,False,230.36652095278347,
1101318.1212461155,309664.74535690405,POINT (1101318.121246116 309664.7453569041),91,1107,0.24204741418361664,1,False,152.92811254424157,
1101518.1212461155,309664.74535690405,POINT (1101518.121246116 309664.7453569041),92,1100,0.396915078163147,1,False,46.918899375741724,
1101718.1212461155,309664.74535690405,POINT (1101718.121246116 309664.7453569041),93,1095,0.32839205861091614,4,False,95.15743779014316,
1101918.1212461155,309664.74535690405,POINT (1101918.121246116 309664.7453569041),94,1088,0.21610094606876373,1,False,269.2558510900233,
1102118.1212461155,309664.74535690405,POINT (1102118.121246116 309664.7453569041),95,1082,0.15623143315315247,1,False,379.8417873074804,
1102318.1212461155,309664.74535690405,POINT (1102318.121246116 309664.7453569041),96,1079,0.1620958298444748,1,False,450.4781831322407,
1102518.1212461155,309664.74535690405,POINT (1102518.121246116 309664.7453569041),97,1075,0.2535625696182251,1,False,512.303677562246,
1102718.1212461155,309664.74535690405,POINT (1102718.121246116 309664.7453569041),98,1072,0.27347010374069214,1,False,598.1278334576441,
1102918.1212461155,309664.74535690405,POINT (1102918.121246116 309664.7453569041),99,1074,0.12337388098239899,1,False,654.9701278010482,
1103118.1212461155,309664.74535690405,POINT (1103118.121246116 309664.7453569041),100,1076,0.18336516618728638,4,False,722.1600803271949,
1103318.1212461155,309664.74535690405,POINT (1103318.121246116 309664.7453569041),101,1078,0.3197198510169983,1,False,772.5316837777261,
1103518.1212461155,309664.74535690405,POINT (1103518.121246116 309664.7453569041),102,1079,0.30313074588775635,1,False,867.2342378289251,
1103718.1212461155,309664.74535690405,POINT (1103718.121246116 309664.7453569041),103,1075,0.17292514443397522,1,False,993.672604072883,
1103918.1212461155,309664.74535690405,POINT (1103918.121246116 309664.7453569041),104,1070,0.14029079675674438,4,False,1140.629185640516,
1104118.1212461155,309664.74535690405,POINT (1104118.121246116 309664.7453569041),105,1064,0.12484771013259888,4,False,1290.3710867841878,
1104318.1212461155,309664.74535690405,POINT (1104318.121246116 309664.7453569041),106,1058,0.15594972670078278,3,False,1423.3496892938736,
1104518.1212461155,309664.74535690405,POINT (1104518.121246116 309664.7453569041),107,1053,0.2456883043050766,3,False,1556.4987711610054,
1104718.1212461155,309664.74535690405,POINT (1104718.121246116 309664.7453569041),108,1050,0.25411683320999146,1,False,1696.9994187721534,
1104918.1212461155,309664.74535690405,POINT (1104918.121246116 309664.7453569041),109,1051,0.24090483784675598,1,False,1780.2221571256928,
1105118.1212461155,309664.74535690405,POINT (1105118.121246116 309664.7453569041),110,1041,0.2552547752857208,1,False,1726.1355414272043,
1107918.1212461155,309664.74535690405,POINT (1107918.121246116 309664.7453569041),111,950,0.3634040653705597,3,False,1268.6222915889457,
1116518.1212461155,309664.74535690405,POINT (1116518.121246116 309664.7453569041),112,1021,0.4424005150794983,1,False,978.3770079974937,
1116718.1212461155,309664.74535690405,POINT (1116718.121246116 309664.7453569041),113,1025,0.3602225184440613,3,False,1050.1181479649488,
1116918.1212461155,309664.74535690405,POINT (1116918.121246116 309664.7453569041),114,1031,0.2435547411441803,1,False,1152.507995457099,
1117118.1212461155,309664.74535690405,POINT (1117118.121246116 309664.7453569041),115,1040,0.12080226093530655,1,False,1009.8035379157603,
1117318.1212461155,309664.74535690405,POINT (1117318.121246116 309664.7453569041),116,1046,0.1578047275543213,1,False,824.83714200773,
1117518.1212461155,309664.74535690405,POINT (1117518.121246116 309664.7453569041),117,1051,0.3430716097354889,1,False,648.8523996131738,
1117718.1212461155,309664.74535690405,POINT (1117718.121246116 309664.7453569041),118,1053,0.3968762457370758,1,False,491.5918654046946,
1117918.1212461155,309664.74535690405,POINT (1117918.121246116 309664.7453569041),119,1054,0.2591530978679657,1,False,377.24751527393926,
1118118.1212461155,309664.74535690405,POINT (1118118.121246116 309664.7453569041),120,1054,0.24455858767032623,1,False,192.77466495020212,
1118318.1212461155,309664.74535690405,POINT (1118318.121246116 309664.7453569041),121,1051,0.25830715894699097,1,False,98.63134449091967,
1118518.1212461155,309664.74535690405,POINT (1118518.121246116 309664.7453569041),122,1052,0.26722797751426697,4,False,249.58808622510463,
1118718.1212461155,309664.74535690405,POINT (1118718.121246116 309664.7453569041),123,1053,0.1557370275259018,4,False,94.35105277737247,
1118918.1212461155,309664.74535690405,POINT (1118918.121246116 309664.7453569041),124,989,0.13339683413505554,4,False,105.65212111556183,
1095918.1212461155,309864.74535690405,POINT (1095918.121246116 309864.7453569041),125,1101,0.2466694712638855,4,False,623.7874271618247,
1096118.1212461155,309864.74535690405,POINT (1096118.121246116 309864.7453569041),126,1102,0.1897343248128891,4,False,711.746008849262,
1096318.1212461155,309864.74535690405,POINT (1096318.121246116 309864.7453569041),127,1099,0.17170779407024384,4,False,796.0122223047027,
