X,Y,ID,Elevation,Weight
1108918.1212461155,310264.74535690405,341,1026,2.6873339133026937
1109118.1212461155,310264.74535690405,342,1025,2.2991824999618236
1109318.1212461155,310264.74535690405,343,1023,1.625602430938078
1109518.1212461155,310264.74535690405,344,1020,1.8916528643063417
1109718.1212461155,310264.74535690405,345,1018,2.7882834831124566
1109918.1212461155,310264.74535690405,346,1003,3.7572620837678903
1116118.1212461155,310264.74535690405,347,1025,2.845962614406549
1116318.1212461155,310264.74535690405,348,1031,2.7448732096105695
1116518.1212461155,310264.74535690405,349,1036,3.165805268144628
1116718.1212461155,310264.74535690405,350,1038,3.885353837465148
1116918.1212461155,310264.74535690405,351,1042,4.73866543646171
1117118.1212461155,310264.74535690405,352,1047,5.6507667220062565
1117318.1212461155,310264.74535690405,353,1050,6.004146325634547
1117518.1212461155,310264.74535690405,354,1052,6.004196507173734
1117718.1212461155,310264.74535690405,355,1051,5.490645031502831
1117918.1212461155,310264.74535690405,356,1046,4.932582603300072
1118118.1212461155,310264.74535690405,357,1041,4.571862142359976
1118318.1212461155,310264.74535690405,358,1037,4.473278069110371
1118518.1212461155,310264.74535690405,359,1039,4.345460150150365
1118718.1212461155,310264.74535690405,360,1044,4.042258801700472
1118918.1212461155,310264.74535690405,361,1039,4.051620885542459
1119118.1212461155,310264.74535690405,362,1034,4.373308938025259
1119318.1212461155,310264.74535690405,363,1038,4.931481302447658
1119518.1212461155,310264.74535690405,364,1046,4.0724120923199845
1119718.1212461155,310264.74535690405,365,1051,3.131933805651627
1119918.1212461155,310264.74535690405,366,1053,2.293364957977489
1120118.1212461155,310264.74535690405,367,1055,1.8997524994410555
1120318.1212461155,310264.74535690405,368,1056,2.3979959034924665
1120518.1212461155,310264.74535690405,369,1055,3.2576609328193573
1120718.1212461155,310264.74535690405,370,1051,4.198032633071042
1120918.1212461155,310264.74535690405,371,1047,4.735335480700291
1121118.1212461155,310264.74535690405,372,1043,5.2908663689581505
1121318.1212461155,310264.74535690405,373,977,5.870915389902296
1094518.1212461155,310464.74535690405,374,1090,4.243460088362316
1094718.1212461155,310464.74535690405,375,1091,3.4371674135974795
1094918.1212461155,310464.74535690405,376,1099,2.6630730012358397
1095118.1212461155,310464.74535690405,377,1103,1.671277417502067
