Conn_param,Cost,ID1,ID2,Length,geometry
180.0,10572836.601566577,20456.0,20419.0,1057.2836601566573,"LINESTRING (1099770.1533676 311033.8889907999, 1099260.653965447 310628.3789478405)"
181.0,5345294.152342548,20458.0,19067.0,534.5294152342547,"LINESTRING (1099291.685765627 311044.0281445213, 1099082.873558374 310720.9797961085)"
182.0,3708886.9857051442,22665.0,22701.0,370.88869857051446,"LINESTRING (1126762.292548713 314640.035456219, 1126465.991692972 314782.1513528564)"
183.0,1415935.9016572698,22701.0,22724.0,141.59359016572697,"LINESTRING (1126465.991692972 314782.1513528564, 1126414.670430675 314910.6961757509)"
184.0,7863099.855060397,22665.0,22745.0,786.3099855060398,"LINESTRING (1126762.292548713 314640.035456219, 1127236.508655014 315050.4576874368)"
185.0,7466492.256109041,22745.0,22830.0,746.649225610904,"LINESTRING (1127236.508655014 315050.4576874368, 1127424.342014385 315518.5287834317)"
186.0,318132.7566653144,22830.0,22831.0,31.81327566653144,"LINESTRING (1127424.342014385 315518.5287834317, 1127393.036788673 315524.1915876623)"
187.0,4433058.17512178,16097.0,17826.0,443.305817512178,"LINESTRING (1125764.80992684 314445.7920512384, 1126127.884829352 314687.9841272869)"
188.0,81865.21234389652,17826.0,22676.0,8.186521234389652,"LINESTRING (1126127.884829352 314687.9841272869, 1126123.207003197 314694.7025402239)"
189.0,2986099.11845875,16097.0,22641.0,298.60991184587505,"LINESTRING (1125764.80992684 314445.7920512384, 1125584.089969226 314467.7632358503)"
